name,application_path,reason
DaVinci Resolve,/Applications/DaVinci Resolve/DaVinci Resolve.app,Blackmagic requires an attended vendor download and license flow
OpenScreen,/Applications/OpenScreen.app,No supported Homebrew cask or unattended vendor installer is available
